Designator,Mid X,Mid Y,Layer,Rotation
C1,43.2,45,B,90
C2,39.3,40.7,B,90
C3,35.5,40.7,B,270
C4,30.7276,46,B,0
C5,30.7276,44.0822,B,0
C6,30.7276,42.2,B,0
C7,43.2,41.2,B,90
C8,41.8,41.2,B,90
C9,32.4,36.2,B,270
C10,24.4,11.6,B,0
C11,16.3,36.7,B,270
C12,14.6,36.7,B,270
C13,12.9,36.7,B,270
C14,11.4,11.6,B,0
C15,56.5,16.5,B,0
C16,37.5,16.5,B,0
D1,64.6,62.4,T,0
D2,3.0652,15.7,T,180
D3,3.0652,9.1,T,0
D4,3.0652,10.5,T,180
D5,3.0652,11.9,T,0
D6,3.0652,13.3,T,180
J1,39.0064,26.943,T,0
J2,39.0064,48.2,T,0
L1,24.2,34.3822,B,0
MH3,74.4,3.6,T,0
MH4,74.4,62.4,T,0
MH5,3.6,62.4,T,0
MH6,3.6,3.6,T,0
Q1,30.6,11.6,B,90
Q2,16.7,11.6,B,90
Q3,62.9,18.4,B,270
Q4,43.9,18.4,B,270
R1,37.5,45,B,180
R2,57.5,62.4,T,0
R3,40.5,40.7,B,90
R4,32.4,38.6,B,90
R5,6.3,15.7,B,0
R6,34.7,10.5,B,180
R7,6.3,13.3,B,180
R8,6.3,10.5,B,0
R9,6.3,11.9,B,0
R10,32.4,29.7,B,0
R11,20.6,10.5,B,180
SW1,19.1,64.1,T,0
U1,38.7064,34.3822,B,0
USB1,27.7,7.1845,T,0
USB2,14,2.2,T,0
USB3,63.5,13.8,T,270
USB4,44.5,13.8,T,270
