A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!PIN_RKO_NUM_LAYERS!PIN_RKO_SHORT_SIDE_OVERSIZE!PIN_RKO_LONG_SIDE_OVERSIZE!
J!G:/github/DebugTool/HARDWARE/V3MINIE_TO_DC3-10P_V10_251101/v3minie_to_dc3-10p_v10_251101.brd!Sat Nov  1 13:57:29 2025!-100.0000!-250.0000!408.0000!250.0000!0.0001!millimeters!V3MINIE_TO_DC3-10P_V10_251101!62.992126 mil!2!UP TO DATE!
S!CLK/SWCLK!J4!4!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17242519@\v3minie_to_dc3-10p_v10_251101\.\conn rcpt 5x2_2.normal\(chips)!CONN RCPT 5X2_2_CN2X5-2P00-V-SM!!!F1!!!!!!!!!
S!GND!J4!6!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17242519@\v3minie_to_dc3-10p_v10_251101\.\conn rcpt 5x2_2.normal\(chips)!CONN RCPT 5X2_2_CN2X5-2P00-V-SM!!!F1!!!!!!!!!
S!T_VCP_TX!J4!8!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17242519@\v3minie_to_dc3-10p_v10_251101\.\conn rcpt 5x2_2.normal\(chips)!CONN RCPT 5X2_2_CN2X5-2P00-V-SM!!!F1!!!!!!!!!
S!CLK/SWCLK!J2!3!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!TMS/SWDIO!J2!1!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!GND!J2!9!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!!J2!6!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!!J2!8!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!NRST!J2!2!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!T_VCP_RX!J2!7!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!T_VCP_TX!J2!5!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!VCC_3.3V!J2!10!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
S!!J2!4!@\v3minie_to_dc3-10p_v10_251101\.main(sch_1):ins17238125@hyoc.\dc3-10p-z-l.normal\(chips)!DC3-10P-Z-L_DC3-10P-Z-L_DC3-10P!!!F2!!!!!!!!!
